id,word,meaning,day,week_start,date_sent
30,adept,very skilled or proficient at something.,wednesday,2025-05-05,2025-05-07
31,taint,to contaminate or pollute something; to affect with a bad or undesirable quality.,thursday,2025-05-05,2025-05-08
32,virtue,behavior showing high moral standards; a good or desirable quality.,thursday,2025-05-05,2025-05-08
33,resent,"to feel bitter or angry about something, especially because you think it is unfair.",thursday,2025-05-05,2025-05-08
34,bungler,a person who does something clumsily or incompetently; a blunderer.,thursday,2025-05-05,2025-05-08
35,invariably,always; without exception.,thursday,2025-05-05,2025-05-08
36,feign,"to pretend to have a particular feeling, condition, or injury.",thursday,2025-05-05,2025-05-08
37,resolve,to find a solution to a problem or difficulty; to decide firmly on a course of action.,thursday,2025-05-05,2025-05-08
38,ripple,a small wave or series of waves; a feeling or effect that spreads through a group or situation.,thursday,2025-05-05,2025-05-08
39,curb,to restrain or keep in check; to control or limit something.,thursday,2025-05-05,2025-05-08
40,espouse,"to adopt or support a cause, belief, or way of life.",thursday,2025-05-05,2025-05-08
41,potent,"having great power, influence, or effect.",friday,2025-05-05,2025-05-09
42,malleable,easily influenced or changed; able to be shaped or bent.,friday,2025-05-05,2025-05-09
43,aesthetics,"the study of beauty, art, and taste; the appreciation of what is beautiful.",friday,2025-05-05,2025-05-09
44,impediment,a hindrance or obstruction in doing something; something that makes progress difficult.,friday,2025-05-05,2025-05-09
45,amoral,lacking a moral sense; not concerned with right or wrong.,friday,2025-05-05,2025-05-09
46,consume,"to use up, eat, or drink; to completely destroy or absorb.",friday,2025-05-05,2025-05-09
47,disparate,essentially different in kind; not allowing comparison.,friday,2025-05-05,2025-05-09
48,renaissance,"a revival or renewed interest in something; originally, the period of great cultural change in Europe from the 14th to 17th centuries.",friday,2025-05-05,2025-05-09
49,distillation,"the process of purifying a liquid by heating and cooling; also, the extraction of the essential meaning or most important aspects of something.",friday,2025-05-05,2025-05-09
50,premise,a statement or idea that is accepted as true and that forms the basis for a theory or argument.,friday,2025-05-05,2025-05-09
51,definitive,(of a conclusion or agreement) done or reached decisively and with authority; the most complete or reliable.,monday,2025-05-12,2025-05-12
52,pertain,to relate to or have a connection with something.,monday,2025-05-12,2025-05-12
53,pertinent,relevant or applicable to a particular matter; appropriate.,monday,2025-05-12,2025-05-12
54,foible,a minor weakness or eccentricity in someone's character.,monday,2025-05-12,2025-05-12
55,frivolous,not having any serious purpose or value; carefree and not serious.,monday,2025-05-12,2025-05-12
56,abolish,"to formally put an end to (a system, practice, or institution).",monday,2025-05-12,2025-05-12
57,inadvertently,without intention; accidentally.,monday,2025-05-12,2025-05-12
58,precarious,not securely held or in position; dangerously likely to fall or collapse; uncertain.,monday,2025-05-12,2025-05-12
59,vagaries,unexpected and inexplicable changes in a situation or in someone's behavior.,monday,2025-05-12,2025-05-12
60,vaunt,"to boast about or praise something, especially excessively.",monday,2025-05-12,2025-05-12
61,notoriously,"famous or well known, typically for some bad quality or deed.",tuesday,2025-05-12,2025-05-13
62,vanity,excessive pride in or admiration of one's own appearance or achievements.,tuesday,2025-05-12,2025-05-13
63,rancor,"bitterness or resentfulness, especially when long-standing.",tuesday,2025-05-12,2025-05-13
64,ascribe,"to attribute something to a cause, person, or source.",tuesday,2025-05-12,2025-05-13
65,surly,bad-tempered and unfriendly.,tuesday,2025-05-12,2025-05-13
66,wit,the ability to use words and ideas in a quick and inventive way to create humor; a person skilled at making clever and amusing remarks.,tuesday,2025-05-12,2025-05-13
67,obscure,not discovered or known about; uncertain; to keep from being seen; to conceal.,tuesday,2025-05-12,2025-05-13
68,odious,extremely unpleasant; repulsive; deserving of hatred.,tuesday,2025-05-12,2025-05-13
69,scruple,a feeling of doubt or hesitation with regard to the morality or propriety of a course of action.,tuesday,2025-05-12,2025-05-13
70,spiteful,"showing or caused by malice; wanting to hurt, annoy, or offend someone.",tuesday,2025-05-12,2025-05-13
71,tyrannical,exercising power in a cruel or arbitrary way.,wednesday,2025-05-12,2025-05-14
72,nunnery,a convent; a building or community where nuns live.,wednesday,2025-05-12,2025-05-14
73,intrigue,to arouse the curiosity or interest of; to make secret plans to do something illicit or harmful.,wednesday,2025-05-12,2025-05-14
74,profligate,recklessly extravagant or wasteful in the use of resources; shamelessly immoral.,wednesday,2025-05-12,2025-05-14
75,beguile,"to charm or enchant someone, sometimes in a deceptive way.",wednesday,2025-05-12,2025-05-14
76,connive,to secretly allow or be involved in wrongdoing; to conspire.,wednesday,2025-05-12,2025-05-14
77,peril,serious and immediate danger.,wednesday,2025-05-12,2025-05-14
78,bestow,to give something as an honor or present.,wednesday,2025-05-12,2025-05-14
79,avaricious,having or showing an extreme greed for wealth or material gain.,wednesday,2025-05-12,2025-05-14
80,perk,a benefit or advantage that comes with a job or situation.,wednesday,2025-05-12,2025-05-14
81,impudence,the quality of being rude and showing a lack of respect.,thursday,2025-05-12,2025-05-15
82,encumbered,restricted or burdened in such a way that free action or movement is difficult.,thursday,2025-05-12,2025-05-15
83,foment,to instigate or stir up (an undesirable or violent sentiment or course of action).,thursday,2025-05-12,2025-05-15
84,astute,having or showing an ability to accurately assess situations or people and turn this to one's advantage; shrewd.,thursday,2025-05-12,2025-05-15
85,enmity,the state or feeling of being actively opposed or hostile to someone or something.,thursday,2025-05-12,2025-05-15
86,vassal,"a person or country in a subordinate position to another; in feudal times, one who held land from a lord in return for services.",thursday,2025-05-12,2025-05-15
87,emasculate,to make someone or something weaker or less effective.,thursday,2025-05-12,2025-05-15
88,seethe,to be filled with intense but unexpressed anger; to bubble up as a result of being boiled.,thursday,2025-05-12,2025-05-15
89,chastise,to reprimand or criticize someone severely.,thursday,2025-05-12,2025-05-15
90,condescend,to show feelings of superiority; to do something in a way that shows you think it is below your dignity.,thursday,2025-05-12,2025-05-15
91,condescension,an attitude of patronizing superiority; disdain.,friday,2025-05-12,2025-05-16
92,dismay,a sudden and complete loss of courage or resolution due to an unexpected event; distress.,friday,2025-05-12,2025-05-16
93,corporal,relating to the body.,friday,2025-05-12,2025-05-16
94,confederate,"a person one works with, especially in something secret or illegal; an accomplice.",friday,2025-05-12,2025-05-16
95,venture,a risky or daring journey or undertaking; a business enterprise involving risk.,friday,2025-05-12,2025-05-16
96,ambiguous,open to more than one interpretation; not having one obvious meaning.,friday,2025-05-12,2025-05-16
97,infamous,well known for some bad quality or deed; notorious.,friday,2025-05-12,2025-05-16
98,nuance,"a subtle difference in or shade of meaning, expression, or sound.",friday,2025-05-12,2025-05-16
99,nonchalance,"the state of being calm and relaxed; not displaying anxiety, interest, or enthusiasm.",friday,2025-05-12,2025-05-16
100,blurt,to say something suddenly and without careful consideration.,friday,2025-05-12,2025-05-16
101,deluded,believing things that are not true or are based on false beliefs.,monday,2025-05-19,2025-05-19
102,coarse,having a rough or uneven texture; lacking refinement.,monday,2025-05-19,2025-05-19
103,accrue,"to gradually accumulate or increase over time, especially in terms of money or benefits.",monday,2025-05-19,2025-05-19
104,garrison,a group of soldiers stationed at a specific location to defend it.,monday,2025-05-19,2025-05-19
105,infidelity,the act of being unfaithful to a spouse or partner; cheating in a romantic relationship.,monday,2025-05-19,2025-05-19
106,ruse,a cunning plan or trick intended to deceive someone.,monday,2025-05-19,2025-05-19
107,roguish,playfully mischievous or behaving in a slightly dishonest or unprincipled way.,monday,2025-05-19,2025-05-19
108,scurry,"to move quickly and with short steps, often because one is in a hurry.",monday,2025-05-19,2025-05-19
109,allay,"to reduce the intensity of a feeling, such as fear or worry; to calm or relieve.",monday,2025-05-19,2025-05-19
110,hobnob,"to associate or mix socially, especially with people of higher status or importance.",monday,2025-05-19,2025-05-19
111,inconspicuous,not easily seen or attracting attention; blending in with the surroundings.,tuesday,2025-05-19,2025-05-20
112,emissary,"a person sent on a special mission, usually as a diplomatic representative.",tuesday,2025-05-19,2025-05-20
113,elaborate,involving many careful details or complex arrangements; to explain something in greater depth.,tuesday,2025-05-19,2025-05-20
114,bland,lacking strong features or characteristics; uninteresting or lacking flavor.,tuesday,2025-05-19,2025-05-20
115,banal,so lacking in originality as to be obvious and boring; commonplace.,tuesday,2025-05-19,2025-05-20
116,obsequious,"overly eager to please or obey someone, often in a way that is insincere.",tuesday,2025-05-19,2025-05-20
117,lull,"to make someone feel calm or less worried, sometimes so that they are less alert.",tuesday,2025-05-19,2025-05-20
118,nondescript,lacking distinctive or interesting features or characteristics; dull and unremarkable.,tuesday,2025-05-19,2025-05-20
119,conform,"to act in accordance with established customs, standards, or rules.",tuesday,2025-05-19,2025-05-20
120,jugular,relating to the veins or area in the neck.,tuesday,2025-05-19,2025-05-20
121,vague,"not clearly expressed, defined, or understood; lacking detail or certainty.",wednesday,2025-05-19,2025-05-21
122,sphinx-like,"mysterious, difficult to interpret, and not revealing emotions or thoughts.",wednesday,2025-05-19,2025-05-21
123,valor,"great courage, especially in the face of danger.",wednesday,2025-05-19,2025-05-21
124,arrogant,having an exaggerated sense of one's own importance or abilities; overly proud.,wednesday,2025-05-19,2025-05-21
125,insolent,boldly disrespectful; showing a lack of respect in speech or behavior.,wednesday,2025-05-19,2025-05-21
126,braggart,a person who boasts about achievements or possessions.,wednesday,2025-05-19,2025-05-21
127,advocate,to publicly support or recommend a particular cause or policy.,wednesday,2025-05-19,2025-05-21
128,discrepancy,a lack of agreement or consistency between two or more facts.,wednesday,2025-05-19,2025-05-21
129,grandeur,"the quality of being magnificent, impressive, or grand.",wednesday,2025-05-19,2025-05-21
130,inscrutable,impossible to understand or interpret; mysterious.,wednesday,2025-05-19,2025-05-21
131,prerogative,a right or privilege exclusive to a particular person or group.,thursday,2025-05-19,2025-05-22
132,confer,to discuss something with others to reach a decision; to grant or bestow.,thursday,2025-05-19,2025-05-22
133,enigma,a person or thing that is mysterious or difficult to understand.,thursday,2025-05-19,2025-05-22
134,insurrection,a violent uprising or organized revolt against authority or government.,thursday,2025-05-19,2025-05-22
135,eloquent,fluent or persuasive in speaking or writing; expressing ideas well.,thursday,2025-05-19,2025-05-22
136,taciturn,habitually silent or uncommunicative; reserved.,thursday,2025-05-19,2025-05-22
137,sparseness,the quality of being thinly dispersed or scattered; a small amount or number.,thursday,2025-05-19,2025-05-22
138,subvert,"to undermine, overthrow, or destroy the power or authority of a system or institution.",thursday,2025-05-19,2025-05-22
139,sheer,"used to emphasize the large amount, degree, or extent of something.",thursday,2025-05-19,2025-05-22
140,perverse,showing a deliberate and obstinate desire to behave in a way that is unreasonable or unacceptable.,thursday,2025-05-19,2025-05-22
141,providence,the protective care or guidance of a divine power; fate.,friday,2025-05-19,2025-05-23
142,unsophisticated,"lacking experience, knowledge, or refinement; simple or naive.",friday,2025-05-19,2025-05-23
143,sly,clever at deceiving people; cunning or crafty.,friday,2025-05-19,2025-05-23
144,proliferate,to increase rapidly in number or spread quickly.,friday,2025-05-19,2025-05-23
145,fraught,"filled with or destined to result in something undesirable, such as danger or difficulty.",friday,2025-05-19,2025-05-23
146,plateau,"a flat, elevated area of land; a period during which there is little or no change after progress.",friday,2025-05-19,2025-05-23
147,prerogative,a right or privilege exclusive to a person or group.,friday,2025-05-19,2025-05-23
148,oblige,to make someone legally or morally bound to do something; to do a favor.,friday,2025-05-19,2025-05-23
149,pathological,"relating to or caused by disease; behaving in an extreme, abnormal, or compulsive way.",friday,2025-05-19,2025-05-23
150,indispensable,absolutely necessary; essential.,friday,2025-05-19,2025-05-23
151,abolish,"to officially put an end to a system, practice, or institution.",monday,2025-05-26,2025-05-26
152,ingratiate,to try to gain favor or approval by doing or saying things that please others.,monday,2025-05-26,2025-05-26
153,inept,lacking skill or ability; incompetent.,monday,2025-05-26,2025-05-26
154,ostensible,"stated or appearing to be true, but not necessarily so; apparent.",monday,2025-05-26,2025-05-26
155,promenade,"a paved public walkway, especially by the sea; to take a leisurely walk.",monday,2025-05-26,2025-05-26
156,Versailles,"a royal palace near Paris, France, symbolizing absolute monarchy and opulence.",monday,2025-05-26,2025-05-26
157,countenance,"a person's facial expression; also, support or approval.",monday,2025-05-26,2025-05-26
158,precarious,"dangerously unstable, uncertain, or insecure.",monday,2025-05-26,2025-05-26
159,vagaries,unexpected and unpredictable changes or variations.,monday,2025-05-26,2025-05-26
160,ignoble,not honorable in character or purpose; morally low or base.,monday,2025-05-26,2025-05-26
161,brevity,concise and exact use of words; shortness in duration.,tuesday,2025-05-26,2025-05-27
162,succinctly,expressed in a clear and brief manner.,tuesday,2025-05-26,2025-05-27
163,ginormous,extremely large; huge.,tuesday,2025-05-26,2025-05-27
164,feign,"to pretend to have a particular feeling, condition, or injury.",tuesday,2025-05-26,2025-05-27
165,hitherto,until now; up to this time.,tuesday,2025-05-26,2025-05-27
166,inadvertently,unintentionally; without meaning to.,tuesday,2025-05-26,2025-05-27
167,conflate,"to combine two or more things into one, typically inappropriately.",tuesday,2025-05-26,2025-05-27
168,complacent,self-satisfied and unaware of possible dangers or deficiencies.,tuesday,2025-05-26,2025-05-27
169,tenacious,holding firmly to something; persistent and determined.,tuesday,2025-05-26,2025-05-27
170,unassailable,"unable to be attacked, questioned, or defeated.",tuesday,2025-05-26,2025-05-27
171,thwart,to prevent someone from accomplishing something; to oppose successfully.,wednesday,2025-05-26,2025-05-28
172,sentinel,a guard or watchman assigned to protect a place or thing.,wednesday,2025-05-26,2025-05-28
173,renown,the state of being widely known and honored; fame.,wednesday,2025-05-26,2025-05-28
174,phalanx,a large group of people or things closely packed together.,wednesday,2025-05-26,2025-05-28
175,recourse,a source of help or solution in a difficult situation.,wednesday,2025-05-26,2025-05-28
176,plummet,to fall or drop straight down at high speed.,wednesday,2025-05-26,2025-05-28
177,renege,"to go back on a promise, agreement, or commitment.",wednesday,2025-05-26,2025-05-28
178,vulgar,"lacking sophistication or good taste; coarse, rude, or offensive.",wednesday,2025-05-26,2025-05-28
179,mesmerize,to capture the complete attention of someone; to hypnotize.,wednesday,2025-05-26,2025-05-28
180,parody,"an imitation of the style of someone or something, usually for comic effect.",wednesday,2025-05-26,2025-05-28
181,solvent,having enough money to pay all debts; financially stable.,thursday,2025-05-26,2025-05-29
182,refute,to prove that a statement or theory is wrong or false.,thursday,2025-05-26,2025-05-29
183,unfathomable,impossible to understand or measure.,thursday,2025-05-26,2025-05-29
184,recess,a temporary break or pause in an activity or process.,thursday,2025-05-26,2025-05-29
185,probe,to investigate or explore deeply in order to find information.,thursday,2025-05-26,2025-05-29
186,au fait,thoroughly familiar or knowledgeable about something.,thursday,2025-05-26,2025-05-29
187,slanderous,containing or involving false and damaging statements about someone.,thursday,2025-05-26,2025-05-29
188,existing,currently present or in operation; already established.,thursday,2025-05-26,2025-05-29
189,satire,"the use of humor, irony, or ridicule to criticize or expose folly, often in society or politics.",thursday,2025-05-26,2025-05-29
190,bolster,"to support, strengthen, or improve something.",thursday,2025-05-26,2025-05-29
191,oblivion,the state of being forgotten or unknown; complete unawareness.,friday,2025-05-26,2025-05-30
192,notoriety,the state of being famous or well known for something bad.,friday,2025-05-26,2025-05-30
193,lynch,"to kill someone, usually by hanging, by a mob without a legal trial.",friday,2025-05-26,2025-05-30
194,countenance,"a person’s facial expression; also, support or approval.",friday,2025-05-26,2025-05-30
195,dwindle,to gradually become smaller or less; diminish.,friday,2025-05-26,2025-05-30
196,purported,"claimed or alleged to be true, but not proven.",friday,2025-05-26,2025-05-30
197,sober,"not affected by alcohol; serious, calm, and sensible.",friday,2025-05-26,2025-05-30
198,vantage,a position that gives a wide or advantageous view.,friday,2025-05-26,2025-05-30
199,humbug,deceptive or false talk or behavior intended to trick or mislead.,friday,2025-05-26,2025-05-30
200,eccentric,unconventional and slightly strange in behavior or appearance.,friday,2025-05-26,2025-05-30
201,enthral,to captivate someone completely; to hold their interest or attention intensely.,monday,2025-06-02,2025-06-02
202,controversy,a prolonged public disagreement or heated discussion over an issue.,monday,2025-06-02,2025-06-02
203,scandal,an action or event causing widespread public outrage or strong disapproval.,monday,2025-06-02,2025-06-02
204,sparingly,in small amounts; using or doing something with moderation or restraint.,monday,2025-06-02,2025-06-02
205,ostentatious,"displaying wealth, possessions, or power in a way that is meant to attract notice and admiration.",monday,2025-06-02,2025-06-02
206,voluptuousness,"the quality of being full-figured, curvaceous, and sexually attractive, often suggesting sensual pleasure.",monday,2025-06-02,2025-06-02
207,capricious,given to sudden and unaccountable changes of mood or behavior; unpredictable.,monday,2025-06-02,2025-06-02
208,despot,a ruler with absolute power who exercises it in a cruel or oppressive way; a tyrant.,monday,2025-06-02,2025-06-02
209,demeanour,"the outward behavior, manner, or appearance of a person.",monday,2025-06-02,2025-06-02
210,conventional,based on or in accordance with what is generally done or believed; traditional; lacking originality.,monday,2025-06-02,2025-06-02
211,titillate,"to excite or arouse someone, especially in a superficial or sexual way.",tuesday,2025-06-02,2025-06-03
212,venerate,to regard with great respect and reverence; to honor deeply.,tuesday,2025-06-02,2025-06-03
213,paltry,very small or meager; lacking in importance or value.,tuesday,2025-06-02,2025-06-03
214,primitive,"relating to the early stages of human development; simple, crude, or lacking modern conveniences.",tuesday,2025-06-02,2025-06-03
215,monumental,"extremely large, impressive, or significant.",tuesday,2025-06-02,2025-06-03
216,patent,"a legal right granted to an inventor to exclusively make, use, or sell an invention for a certain period.",tuesday,2025-06-02,2025-06-03
217,rescind,"to revoke, cancel, or repeal a law, agreement, or decision, making it no longer valid.",tuesday,2025-06-02,2025-06-03
218,divest,"to sell off, rid oneself of, or strip away rights, property, or possessions.",tuesday,2025-06-02,2025-06-03
219,impoverished,extremely poor; lacking sufficient money or resources.,tuesday,2025-06-02,2025-06-03
220,petty,of little importance; trivial; overly concerned with insignificant details.,tuesday,2025-06-02,2025-06-03
221,industrious,diligent and hardworking; constantly occupied with productive activity.,wednesday,2025-06-02,2025-06-04
222,deluge,to overwhelm with a large amount of something; a severe flood.,wednesday,2025-06-02,2025-06-04
223,prodigious,"remarkably or impressively great in size, amount, or degree.",wednesday,2025-06-02,2025-06-04
224,contemporary,a person or thing living or existing at the same time as another.,wednesday,2025-06-02,2025-06-04
225,attributable,able to be regarded as being caused by; ascribable.,wednesday,2025-06-02,2025-06-04
226,plagiarize,to copy someone else's work or ideas and present them as your own.,wednesday,2025-06-02,2025-06-04
227,slog,"to work hard and steadily over a long period, especially at something difficult or boring.",wednesday,2025-06-02,2025-06-04
228,deft,demonstrating skill and cleverness; quick and precise in movement.,wednesday,2025-06-02,2025-06-04
229,adroit,"very skillful and resourceful, especially in using the hands or mind.",wednesday,2025-06-02,2025-06-04
230,gaiety,"the state or quality of being cheerful, lively, and full of high spirits.",wednesday,2025-06-02,2025-06-04
231,delirium,"a disturbed state of mind marked by confusion, disordered speech, and hallucinations, often due to illness or intoxication.",thursday,2025-06-02,2025-06-05
232,giddiness,"a sensation of lightheadedness, dizziness, or excitement; feeling silly or overly happy.",thursday,2025-06-02,2025-06-05
233,impetuosity,the quality of acting quickly and without thought or care for the consequences; impulsiveness.,thursday,2025-06-02,2025-06-05
234,pyrrhic,referring to a victory that is so costly it is almost tantamount to defeat.,thursday,2025-06-02,2025-06-05
235,explicate,to explain or analyze something in detail; to make clear.,thursday,2025-06-02,2025-06-05
236,malevolence,the state or condition of wishing to do evil or cause harm to others.,thursday,2025-06-02,2025-06-05
237,respite,a short period of rest or relief from something difficult or unpleasant.,thursday,2025-06-02,2025-06-05
238,impugn,to call into question; to challenge or attack as false or questionable.,thursday,2025-06-02,2025-06-05
239,salvage,to rescue or recover something from loss or destruction; to save a situation from failure.,thursday,2025-06-02,2025-06-05
240,posterity,all future generations of people.,thursday,2025-06-02,2025-06-05
241,insidious,"proceeding in a gradual, subtle way but with harmful effects.",friday,2025-06-02,2025-06-06
242,denounce,to publicly criticize or condemn someone or something strongly.,friday,2025-06-02,2025-06-06
243,visceral,relating to deep inward feelings rather than to the intellect; instinctive and emotional.,friday,2025-06-02,2025-06-06
244,courting,"to risk incurring something undesirable, often by one's own actions or behavior.",friday,2025-06-02,2025-06-06
245,decrepit,"worn out, weakened, or ruined from age or neglect.",friday,2025-06-02,2025-06-06
246,incapacitated,deprived of strength or ability; unable to function or act normally.,friday,2025-06-02,2025-06-06
247,languish,"to lose or lack vitality; to grow weak or feeble, often due to neglect or hardship.",friday,2025-06-02,2025-06-06
248,elope,"to run away secretly in order to get married, usually without parental consent.",friday,2025-06-02,2025-06-06
249,brazenly,"in a shameless, bold, or openly defiant manner.",friday,2025-06-02,2025-06-06
250,crevice,"a narrow opening or crack, especially in a rock or surface.",friday,2025-06-02,2025-06-06
251,miser,a person who hoards wealth and spends as little money as possible.,monday,2025-06-09,2025-06-09
252,vigor,"physical strength, energy, or enthusiasm.",monday,2025-06-09,2025-06-09
253,dabble,to take part in an activity in a casual or superficial way.,monday,2025-06-09,2025-06-09
254,abdicate,"to formally give up a position of power or responsibility, especially that of a monarch.",monday,2025-06-09,2025-06-09
255,bigamy,the crime of marrying another person while already legally married to someone else.,monday,2025-06-09,2025-06-09
256,ostracize,to exclude someone from a group or society deliberately.,monday,2025-06-09,2025-06-09
257,reckon,"to think, believe, or suppose; to calculate or estimate.",monday,2025-06-09,2025-06-09
258,esteem,"respect and admiration, typically for a person.",monday,2025-06-09,2025-06-09
259,ascetic,"practicing severe self-discipline and abstention from all forms of indulgence, often for religious reasons.",monday,2025-06-09,2025-06-09
260,maelstrom,a situation or state of confused movement or violent turmoil.,monday,2025-06-09,2025-06-09
261,churn,to stir or agitate vigorously; to move something about intensely.,tuesday,2025-06-09,2025-06-10
262,inherent,existing as a natural or essential part of something.,tuesday,2025-06-09,2025-06-10
263,embroil,"to involve someone deeply in an argument, conflict, or difficult situation.",tuesday,2025-06-09,2025-06-10
264,enmesh,to entangle or involve someone in a difficult or complicated situation from which it is hard to escape.,tuesday,2025-06-09,2025-06-10
265,interminable,"endless or seemingly endless, often in a tiresome or boring way.",tuesday,2025-06-09,2025-06-10
266,pathological,relating to or caused by disease; compulsive or obsessive in behavior.,tuesday,2025-06-09,2025-06-10
267,unhinged,mentally unbalanced; deranged.,tuesday,2025-06-09,2025-06-10
268,buoyancy,the ability to float in water or air; cheerfulness and resilience; economic success.,tuesday,2025-06-09,2025-06-10
269,gravitate,to be drawn or attracted toward something or someone.,tuesday,2025-06-09,2025-06-10
270,gregarious,sociable; enjoying the company of others.,tuesday,2025-06-09,2025-06-10
271,folly,lack of good sense or judgment; foolishness.,wednesday,2025-06-09,2025-06-11
272,malady,a disease or disorder of the body or mind.,wednesday,2025-06-09,2025-06-11
273,mercenary,a person primarily concerned with making money at the expense of ethics; or a professional soldier hired to serve in a foreign army.,wednesday,2025-06-09,2025-06-11
274,condottiere,a leader of a band of mercenary soldiers in Italy between the 14th and 16th centuries.,wednesday,2025-06-09,2025-06-11
275,toil,"hard, continuous, and exhausting work.",wednesday,2025-06-09,2025-06-11
276,valiant,possessing or showing courage or determination.,wednesday,2025-06-09,2025-06-11
277,galore,in plentiful or abundant amounts; in great quantities.,wednesday,2025-06-09,2025-06-11
278,insinuate,"to suggest or hint at something, usually something negative, in an indirect way.",wednesday,2025-06-09,2025-06-11
279,aversion,a strong feeling of dislike or opposition toward something.,wednesday,2025-06-09,2025-06-11
280,antipathy,a deep-seated feeling of dislike; aversion.,wednesday,2025-06-09,2025-06-11
281,conservative,averse to change or innovation; favoring traditional views or values.,thursday,2025-06-09,2025-06-12
282,finagle,"to obtain something by cunning, trickery, or dishonest means.",thursday,2025-06-09,2025-06-12
283,edifice,"a large, imposing building; or a complex system of beliefs.",thursday,2025-06-09,2025-06-12
284,hurl,to throw something with great force.,thursday,2025-06-09,2025-06-12
285,intensive,involving a lot of effort or activity in a short period of time.,thursday,2025-06-09,2025-06-12
286,extensive,covering a large area; having a wide range or scope.,thursday,2025-06-09,2025-06-12
287,sullen,bad-tempered and sulky; unwilling to smile or be sociable.,thursday,2025-06-09,2025-06-12
288,glower,to have an angry or sullen facial expression; to scowl.,thursday,2025-06-09,2025-06-12
289,scowl,to frown in an angry or bad-tempered way.,thursday,2025-06-09,2025-06-12
290,sag,"to sink, droop, or settle downward from pressure or lack of strength.",thursday,2025-06-09,2025-06-12
291,charlatan,a person falsely claiming to have special knowledge or skills; a fraud.,friday,2025-06-09,2025-06-13
292,retinue,"a group of assistants, advisers, or followers accompanying an important person.",friday,2025-06-09,2025-06-13
293,cynical,distrustful of human sincerity or goodness; believing people are motivated by self-interest.,friday,2025-06-09,2025-06-13
294,brazenly,in a bold and shameless way; without attempt to hide.,friday,2025-06-09,2025-06-13
295,inconsequential,not important or significant; trivial.,friday,2025-06-09,2025-06-13
296,relinquish,to voluntarily give up or surrender something.,friday,2025-06-09,2025-06-13
297,machiavellian,"cunning, scheming, and unscrupulous, especially in politics or in advancing one's career.",friday,2025-06-09,2025-06-13
298,unscrupulous,showing no moral principles; dishonest or unfair.,friday,2025-06-09,2025-06-13
299,guile,sly or cunning intelligence; the use of clever but dishonest methods to deceive.,friday,2025-06-09,2025-06-13
300,quintessence,the most perfect or typical example of a quality or class.,friday,2025-06-09,2025-06-13
301,poised,"having a calm, confident, and self-assured manner, especially in difficult situations.",monday,2025-06-16,2025-06-16
